"Journal title","ISSN","eISSN","Publisher name","Publisher address"
"JOURNAL OF TRANSFORMATIVE EDUCATION","1541-3446","1552-7840","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320"
"JOURNAL OF TRANSLATIONAL INTERNAL MEDICINE","2450-131X","2224-4018","SCIENDO","DE GRUYTER POLAND SP Z O O, BOGUMILA ZUGA 32A STR, WARSAW, POLAND, 01-811"
"JOURNAL OF TRANSPLANTATION","2090-0007","2090-0015","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF"
"JOURNAL OF TRANSPORT AND SUPPLY CHAIN MANAGEMENT","2310-8789","1995-5235","AOSIS","POSTNET SUITE 55, PRIVATE BAG X22, TYGERVALLEY, CAPE TOWN, SOUTH AFRICA, 00000"
"JOURNAL OF TRANSPORTATION SECURITY","1938-7741","1938-775X","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"JOURNAL OF TRANSPORT HISTORY","0022-5266","1759-3999","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320"
"JOURNAL OF TRUST RESEARCH","2151-5581","2151-559X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"JOURNAL OF TURKISH SLEEP MEDICINE-TURK UYKU TIBBI DERGISI","2148-1504","2148-1504","GALENOS YAYINCILIK","MOLLA GURANI MAHALLESI KACAMAK SOKAK NO 21, FINDIKZADE, Turkey, ISTANBUL, 34093"
"JOURNAL OF ULTRASONOGRAPHY","2084-8404","2084-8404","MEDICAL COMMUNICATIONS","UL POWSINSKA 34, WARSZAWA, POLAND, 02903"
"JOURNAL OF ULTRASOUND","1971-3495","1876-7931","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330"
"JOURNAL OF UNIVERSITY TEACHING AND LEARNING PRACTICE","1449-9789","1449-9789","UNIV WOLLONGONG","NORTHFIELDS AVE, WOLLONGONG, AUSTRALIA, NSW, 2522"
"JOURNAL OF UNMANNED VEHICLE SYSTEMS","2291-3467","2291-3467","CANADIAN SCIENCE PUBLISHING","65 AURIGA DR, SUITE 203, OTTAWA, CANADA, ON, K2E 7W6"
"JOURNAL OF UNSCHOOLING AND ALTERNATIVE LEARNING","1916-8128","1916-8128","NIPISSING UNIV","100 COLLEGE DR, PO BOX 5002, NORTH BAY, CANADA, ON, P1B 8L7"
"JOURNAL OF URBAN AND REGIONAL ANALYSIS","2067-4082","2068-9969","BUCHAREST UNIV PRESS","INTERDISCIPLINARY CENTRE ADV RES TERRITORIAL DYNAMICS-CICADIT 4-12 REGINA ELISABETA BLV, BUCHAREST, ROMANIA, 00000"
"JOURNAL OF URBAN CULTURE RESEARCH","2228-8279","2408-1213","CHULALONGKORN UNIV, FAC FINE & APPLIED ARTS","CHULALONGKORN UNIV, FAC FINE & APPLIED ARTS, BANGKOK, THAILAND, 00000"
"JOURNAL OF URBAN DESIGN","1357-4809","1469-9664","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"JOURNAL OF URBAN ETHNOLOGY","1429-0618","1429-0618","POLISH ACAD SCIENCES, INST ARCHAEOLOGY & ETHNOLOGY","POLISH ACAD SCIENCES, INST ARCHAEOLOGY & ETHNOLOGY, KRAKOW, POLAND, 00000"
"JOURNAL OF URBAN MANAGEMENT","2226-5856","2589-0360","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX"
"JOURNAL OF UROLOGICAL SURGERY","2148-9580","2148-9580","GALENOS YAYINCILIK","MOLLA GURANI MAHALLESI KACAMAK SOKAK NO 21, FINDIKZADE, Turkey, ISTANBUL, 34093"
"JOURNAL OF USABILITY STUDIES","1931-3357","1931-3357","USERS EXPERIENCE PROFESSIONAL ASSOC","140 N BLOOMINGDALE RD, BLOOMINGDALE, USA, IL, 60108"
"JOURNAL OF VASCULAR NURSING","1062-0303","1532-6578","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169"
"JOURNAL OF VASCULAR SURGERY CASES AND INNOVATIVE TECHNIQUES","2468-4287","2468-4287","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX"
"JOURNAL OF VIBROENGINEERING","1392-8716","1392-8716","JVE INT LTD","GELIU RATAS 15 A, KAUNAS, LITHUANIA, LT-50282"
"JOURNAL OF VIETNAMESE STUDIES","1559-372X","1559-3738","UNIV CALIFORNIA PRESS","155 GRAND AVE, SUITE 400, OAKLAND, USA, CA, 94612-3758"
"JOURNAL OF VISUAL ART AND DESIGN","2337-5795","2338-5480","ITB JOURNAL PUBL","LPPM ITB, ITB RECTORATE BUILDING, 5TH FLR, JALAN TAMANSARI 64, BANDUNG, INDONESIA, 40116"
"JOURNAL OF VISUAL COMMUNICATION IN MEDICINE","1745-3054","1745-3062","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN"
"JOURNAL OF VOCATIONAL EDUCATION AND TRAINING","1363-6820","1747-5090","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"JOURNAL OF VOCATIONAL REHABILITATION","1052-2263","1878-6316","IOS PRESS","NIEUWE HEMWEG 6B, AMSTERDAM, NETHERLANDS, 1013 BG"
"JOURNAL OF WAR & CULTURE STUDIES","1752-6272","1752-6280","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"JOURNAL OF WATER MANAGEMENT MODELING","2292-6062","2292-6062","COMPUTATIONAL HYDRAULICS INT","147 WYNDHAM ST N, STE 202, GUELPH, CANADA, ONTARIO, N1H 4E9"
"JOURNAL OF WEB LIBRARIANSHIP","1932-2909","1932-2917","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"JOURNAL OF WILDLIFE AND BIODIVERSITY","","2588-3526","ARAK UNIV, ARAK","DEPT ENVIRONMENTAL SCIENCES, FAC AGRICULTURE & NATURAL RESOURCES, ARAK, IRAN, 00000"
"JOURNAL OF WORKPLACE BEHAVIORAL HEALTH","1555-5240","1555-5259","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"JOURNAL OF WORKPLACE LEARNING","1366-5626","1758-7859","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA"
"JOURNAL OF WORLD CHRISTIANITY","2377-8784","1943-1538","PENN STATE UNIV PRESS","820 NORTH UNIV DRIVE, U S B 1, STE C, UNIVERSITY PK, USA, PA, 16802"
"JOURNAL OF WORLD INTELLECTUAL PROPERTY","1422-2213","1747-1796","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"JOURNAL OF WORLD INVESTMENT & TRADE","1660-7112","2211-9000","BRILL ACADEMIC PUBLISHERS","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA"
"JOURNAL OF WORLD POPULAR MUSIC","2052-4900","2052-4919","EQUINOX PUBLISHING LTD","415, THE WORKSTATION, 15 PATERNOSTER ROW, SHEFFIELD, ENGLAND, S1 2BX"
"JOURNAL OF WORLD-SYSTEMS RESEARCH","1076-156X","1076-156X","UNIV PITTSBURGH, UNIV LIBRARY SYSTEM","3960 FORBES AVE, PITTSBURGH, USA, PA, 15260"
"JOURNAL OF WRIST SURGERY","2163-3916","2163-3924","THIEME MEDICAL PUBL INC","333 SEVENTH AVE, NEW YORK, USA, NY, 10001"
"JOURNAL OF WRITING RESEARCH","2030-1006","2294-3307","UNIV ANTWERP","CAMPUS GROENENBORGER, 171 GROENENBORGERLAAN, ANTWERP, BELGIUM, 2020"
"JOURNAL OF XENOBIOTICS","2039-4705","2039-4713","PAGEPRESS PUBL","MEDITGROUP, VIA G BELLI, 4, PAVIA, ITALY, 27100"
"JOURNAL OF YOUNG PHARMACISTS","0975-1483","0975-1505","INPHARM ASSOC, PHCOG NET","17, II FLOOR, BUDDHA VIHAR RD, COX TOWN, BANGELORE, INDIA, 560 005"
"JOURNAL OF YOUTH DEVELOPMENT","2325-4017","2325-4017","UNIV PITTSBURGH, UNIV LIBRARY SYSTEM","3960 FORBES AVE, PITTSBURGH, USA, PA, 15260"
"JOURNAL OF ZOO AND AQUARIUM RESEARCH","2214-7594","2214-7594","EUROPEAN ASSOC ZOOS & AQUARIA","PO BOX 20164, AMSTERDAM, NETHERLANDS, 1000 HD"
"JOURNAL ON DATA SEMANTICS","1861-2032","1861-2040","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"JOURNAL ON EFFICIENCY AND RESPONSIBILITY IN EDUCATION AND SCIENCE","2336-2375","1803-1617","CESKA ZEMEDELSKA UNIV & PRAZE","KAMYCKA 129, PRAGUE 6, CZECH REPUBLIC, 16521"
"JOURNEYS-THE INTERNATIONAL JOURNAL OF TRAVEL AND TRAVEL WRITING","1465-2609","1752-2358","BERGHAHN JOURNALS","20 JAY ST, SUITE 512, BROOKLYN, USA, NY, 11201"
"JP JOURNAL OF ALGEBRA NUMBER THEORY AND APPLICATIONS","0972-5555","0972-5555","PUSHPA PUBLISHING HOUSE","VIJAYA NIWAS, 198, MUMFORDGANJ, ALLAHABAD, INDIA, 211002"
"JP JOURNAL OF BIOSTATISTICS","0973-5143","0973-5143","PUSHPA PUBLISHING HOUSE","VIJAYA NIWAS, 198, MUMFORDGANJ, ALLAHABAD, INDIA, 211002"
"JRSM CARDIOVASCULAR DISEASE","2048-0040","2048-0040","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP"
"JSIAM LETTERS","1883-0609","1883-0617","JAPAN SOC INDUSTRIAL & APPLIED MATHEMATICS-JSIAM","JAPAN SOC INDUSTRIAL & APPLIED MATHEMATICS-JSIAM, TOKYO, JAPAN, 00000"
"JUDAICA UKRAINICA","2305-4034","2305-5278","LAURUS PRESS","VUL DUBROVYTSKA 28, KYIV, UKRAINE, 04114"
"JUNDISHAPUR JOURNAL OF NATURAL PHARMACEUTICAL PRODUCTS","1735-7780","2228-7876","KOWSAR PUBL","PATERSWEG 22,, HOENSBROEK, NETHERLANDS, LIMBURG, 6431 GC"
"JURIDICAL TRIBUNE-TRIBUNA JURIDICA","2247-7195","2248-0382","BUCHAREST ACAD ECONOMIC STUDIES, LAW DEPT","CALEA DOROBANTILOR NR 15-17, SECTOR 1, BUCURESTI, ROMANIA, 010552"
"JURIDICAS CUC","1692-3030","2389-7716","UNIV COSTA","CALLE 58 NO 55-66, BARRANQUILLA, COLOMBIA, 00000"
"JURISPRUDENCE-AN INTERNATIONAL JOURNAL OF LEGAL AND POLITICAL THOUGHT","2040-3313","2040-3321","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"JURNAL CITA HUKUM-INDONESIAN LAW JOURNAL","2356-1440","2502-230X","UNIV ISLAM NEGERI SYARIF HIDAYATULLAH JAKARTA","JL IR H JUANDA NO 95 CIPUTAT TANGERANG SELATAN, BANTEN, INDONESIA, 00000"
"JURNAL FIZIK MALAYSIA","0128-0333","0128-0333","INST FIZIK MALAYSIA","C/O PHYSICS DEPT, UNIV MALAYSIA, KUALA LUMPUR, MALAYSIA, 50603"
"JURNAL GIZI DAN PANGAN","1978-1059","2407-0920","BOGOR AGRICULTURAL UNIV, DEPT COMMUNITY NUTRITION, FAC HUMAN ECOLOGY","KAMPUS IPB DARMAGA, JL RAYA DARMAGA, BOGOR, JAWA BARAT, INDONESIA, 16680"
"JURNAL ILMU DAN TEKNOLOGI KELAUTAN TROPIS","2087-9423","2085-6695","INDONESIAN OCEANOLOGISTS ASSOC BOGOR AGRICULTURAL UNIV, DEPT MAR SCI & TEC","JL. RAYA DARMAGA KAMPUS IPB DARMAGA BOGOR, BOGOR, INDONESIA, WEST JAVA, 16680"
"JURNAL ILMU TERNAK DAN VETERINER","0853-7380","2252-696X","CENTER ANIMAL SCIENCE RESEARCH & DEVELOPMENT","JL RAYA PAJAJARAN KAV E-59, BOGOR, INDONESIA, 16151"
"JURNAL KEJURUTERAAN","0128-0198","2289-7526","UKM PRESS","BANGI, SELANGOR, MALAYSIA, 43600"
"JURNAL KOMUNIKASI-MALAYSIAN JOURNAL OF COMMUNICATION","2289-151X","2289-1528","NATL UNIV MALAYSIA, FAC SOCIAL SCIENCES & HUMANITIES","UKM BANGI, SELANGOR, MALAYSIA, 43600"
"JURNAL MANAJEMEN HUTAN TROPIKA","2087-0469","2089-2063","BOGOR AGRICULTURAL UNIV, FAC FORESTRY","KAMPUS IPB DARMAGA, JL RAYA DARMAGA, BOGOR, INDONESIA, JAWA BARAT, 16680"
"JURNAL PENDIDIKAN FISIKA INDONESIA-INDONESIAN JOURNAL OF PHYSICS EDUCATION","1693-1246","2355-3812","UNIV NEGERI SEMARANG, FAC MATHEMATICS & SCIENCES","RD SEKARAN, GUNUNGPATI, SEMARANG, CENTRAL JAVA, INDONESIA, 00000"
"JURNAL PENELITIAN DAN PEMBELAJARAN IPA","2477-1422","2477-2038","UNIV SULTAN AGENG TIRTAYASA, FAC TEACHER TRAINING & EDUCATION","DEPT SCIENCE EDUCATION, JL CIWARU RAYA NO 25 CIPOCOK JAYA, SERANG BANTEN, INDONESIA, 42117"
"JURNAL TEKNOLOGI","0127-9696","2180-3722","PENERBIT UTM PRESS","PENERBIT UTM PRESS, SKUDAI, JOHOR, MALAYSIA, 81310"
"JURNAL THE MESSENGER","2086-1559","2527-2810","UNIV SEMARANG, DEPT COMMUNICATION","JL SOEKARNO HATTA, TLOGOSARI, SEMARANF, INDONESIA, 50196"
"JURNAL TRIBOLOGI","2289-7232","2289-7232","MALAYSIAN TRIBOLOGY SOC-MYTRIBOS","FAC ENG, UNIV MALAYSIA, KUALA LUMPUR, MALAYSIA, 50603"
"JUSTICIA","0124-7441","2590-4566","UNIV SIMON BOLIVAR","CARRERA 54 NO 64-223, BARRANQUILLA, COLOMBIA, 00000"
"KAIROS-JOURNAL OF PHILOSOPHY & SCIENCE","1647-659X","2182-2824","SCIENDO","DE GRUYTER POLAND SP Z O O, BOGUMILA ZUGA 32A STR, WARSAW, POLAND, 01-811"
"KAJIAN MALAYSIA","2180-4273","2180-4273","PENERBIT UNIV SAINS MALAYSIA","PENERBIT UNIVERSITI SAINS MALAYSIA, PULAU PINANG, MALAYSIA, PINANG, 11800"
"KALAGATOS-REVISTA DE FILOSOFIA","1808-107X","1984-9206","UNIV ESTADUAL CEARA-UECE","AV PARANJANA 1700, CAMPUS ITAPERI, FORTALEZA, BRAZIL, CE, 00000"
"KAMCHATKA-REVISTA DE ANALISIS CULTURAL","2340-1869","2340-1869","UNIV VALENCIA, DEPT PREHISTORIA & ARQUEOLOGIA","AVE BLASCO IBANEZ, 28, VALENCIA, SPAIN, 46010"
"KANT YEARBOOK","1868-4599","1868-4602","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785"
"KARDIOCHIRURGIA I TORAKOCHIRURGIA POLSKA-POLISH JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY","1731-5530","1897-4252","TERMEDIA PUBLISHING HOUSE LTD","KLEEBERGA ST 2, POZNAN, POLAND, 61-615"
"KARDIOLOGE","1864-9718","1864-9726","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"KASTAMONU UNIVERSITY JOURNAL OF FORESTRY FACULTY","1303-2399","1303-4181","KASTAMONU UNIV","FORESTRY FAC, UNIVERSITY CAMPUS , KASTAMONU, Turkey, 37200"
"KEIO JOURNAL OF MEDICINE","0022-9717","1880-1293","KEIO JOURNAL MEDICINE","35 SHINANOMACHI, SHINJUKU-KU, TOKYO, JAPAN, 160-8582"
"KEMIJA U INDUSTRIJI-JOURNAL OF CHEMISTS AND CHEMICAL ENGINEERS","0022-9830","1334-9090","HRVATSKO DRUSTVO KEMJIJSKIH INZENJERA I TEHNOLOGA","BERISLAVICEVA 6-1 P O BOX 123, ZAGREB, CROATIA, 41001"
"KESMAS-NATIONAL PUBLIC HEALTH JOURNAL","1907-7505","2460-0601","UNIV INDONESIA","DIRECTORATE RESEARCH & PUBLIC SERV, UI CAMPUS, KAMOUS UNIV INDONESIA, DEPOK, INDONESIA, 16424"
"KHAZAR JOURNAL OF HUMANITIES AND SOCIAL SCIENCES","2223-2613","2223-2621","KHAZAR UNIV","11 MEHSETI ST, BAKU, AZERBAIJAN, 370096"
"KIDNEY RESEARCH AND CLINICAL PRACTICE","2211-9132","2211-9140","KOREAN SOC NEPHROLOGY","1401 HYUNDAI KIRIM BLDG, 1330-18 SEOCHO 2-DONG, SEOCHO-GU, SOUTH KOREA, SEOUL, 137-858"
"KINESIOLOGIA SLOVENICA","1318-2269","2232-4062","UNIV LJUBLJANA, FAC SPORT","DEPT GYMNASTICS, GORTANOVA 22, LJUBLJANA, SLOVENIA, SI-1000"
"KINO-THE WESTERN UNDERGRADUATE JOURNAL OF FILM STUDIES","1923-7561","1923-7561","UNIV WESTERN ONTARIO","JOSEPHINE SPENCER NIBLETT BLDG, 1151 RICHMOND ST N, LONDON, CANADA, ONTARIO, N6A 3K7"
"KIVA-JOURNAL OF SOUTHWESTERN ANTHROPOLOGY AND HISTORY","0023-1940","2051-6177","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"KLIMIK JOURNAL","1301-143X","1309-1484","AVES","BUYUKDERE CAD 105-9, MECIDIYEKOY, SISLI, TURKEY, ISTANBUL, 34394"
"KLINIK PSIKIYATRI DERGISI-TURKISH JOURNAL OF CLINICAL PSYCHIATRY","1302-0099","2146-7153","KLINIK PSIKIYATRI DERGISI","STRAZBURG CAD 4-11 SIHHIYE, ANKARA, TURKEY, 00000"
"KNOWLEDGE AND PROCESS MANAGEMENT","1092-4604","1099-1441","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"KNOWLEDGE MANAGEMENT & E-LEARNING-AN INTERNATIONAL JOURNAL","2073-7904","2073-7904","LABORATORY KNOWLEDGE MANAGEMENT & E-LEARNING UNIV","RM 212, RUNME SHAW BLDG, FAC EDUCATION, UNIV HONG KONG, HONG KONG, HONG KONG, 00000"
"KOME-AN INTERNATIONAL JOURNAL OF PURE COMMUNICATION INQUIRY","2063-7330","2063-7330","HUNGARIAN COMMUNICATION STUDIES ASSOC","BOKOR UTCA 1-3-5, BUDAPEST, HUNGARY, 1037"
"KONSTANTINOVE LISTY-CONSTANTINES LETTERS","1337-8740","2453-7675","CONSTANTINE PHILOSOPHER UNIV NITRA","TR A HLINKU 1, NITRA, SLOVAKIA, SK-949 74"
"KONSULTATIVNAYA PSIKHOLOGIYA I PSIKHOTERAPIYA-COUNSELING PSYCHOLOGY AND PSYCHOTHERAPY","2075-3470","2311-9446","MOSCOW STATE UNIV PSYCHOLOGY & EDUCATION","UL SRETENKA, 29, MOSCOW, RUSSIA, 127051"
"KONURALP TIP DERGISI","1309-3878","1309-3878","DUZCE UNIV","KONURALP YERLESKESI, DUZCE, TURKEY, 81620"
"KOOT-REVISTA DE MUSEOLOGIA","2078-0664","2307-3942","EL SALVADOR UNIV TECHNOLOGY","UNIV MUSEUM ANTHROPOLOGY, NO 1120 MAPLE ST, BLDG ANASTACIO AQUINO, SAN SALVADOR, EL SALVADOR, 00000"
"KOREAN CHEMICAL ENGINEERING RESEARCH","0304-128X","2233-9558","KOREAN INSTITUTE CHEMICAL  ENGINEERS","F.5, 119, ANAM-RO, SEONGBUK-GU, SEOUL, SOUTH KOREA, 136-075"
"KOREAN JOURNAL OF ANESTHESIOLOGY","2005-6419","2005-7563","KOREAN SOC ANESTHESIOLOGISTS","1007 YONG SEONG BIZTEL BLDG, 109 HANGANG-DAERO, YONGSAN-GU, SEOUL, SOUTH KOREA, 140-750"
"KOREAN JOURNAL OF APPLIED STATISTICS","1225-066X","2383-5818","KOREAN STATISTICAL SOC","SCIENCE & TECHNOLOGY, BLDG RM 709, 635-4 YEOGSAM-DONG, KANGNAM-GU, SEOUL, SOUTH KOREA, 135-703"
"KOREAN JOURNAL OF FAMILY MEDICINE","2092-6715","2092-6715","KOREAN ACAD FAMILY MEDICINE","GWANGHWAMUN OFFICIA 2003, SINMUNNO 1-GA, JONGNO-GU, SEOUL, SOUTH KOREA, 110-999"
"KOREAN JOURNAL OF INTERNATIONAL AND COMPARATIVE LAW","2213-4476","2213-4484","BRILL ACADEMIC PUBLISHERS","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA"
"KOREAN JOURNAL OF INTERNATIONAL STUDIES","2233-470X","2288-5072","KOREAN ASSOC INT STUDIES","4 DONGGYO-RO 15-GIL, MAPO-GU, SEOUL, SOUTH KOREA, 121-842"
"KOREAN JOURNAL OF MATERIALS RESEARCH","1225-0562","2287-7258","MATERIALS RESEARCH SOC KOREA","RM 903, KOREA SCIENCE & TECHNOLOGY BLDG, 635-4, YEOKSAM-DONG, KANGNAM-GU, SEOUL, SOUTH KOREA, 135-703"
"KOREAN JOURNAL OF MATHEMATICS","1976-8605","2288-1433","KANGWON-KYUNGKI MATHEMATICAL SOC","DEPT MATH, KANGWON NATL UNIV,, CHUNCHEON, SOUTH KOREA, 200-701"
"KOREAN JOURNAL OF OPTICS AND PHOTONICS","1225-6285","2287-321X","OPTICAL SOC KOREA","#1610 TAEYOUNG DESSIAN, 560 DOWHA-DONG, MAPO-GU, SEOUL, SOUTH KOREA, 121-815"
"KOREAN JOURNAL OF PLANT TAXONOMY","1225-8318","2466-1546","PLANT TAXONOMIC SOC KOREA","C/O DR YOUNG-DONG KIM, DEPT LIFE SCIENCE, HALLYM UNIV, CHUNCHEON, South Korea, 24252"
"KOREAN JOURNAL OF REMOTE SENSING","1225-6161","2287-9307","KOREAN SOC REMOTE SENSING","KOREAN SOC REMOTE SENSING, SEOUL, SOUTH KOREA, 00000"
"KOREAN LANGUAGE IN AMERICA","2332-0346","2374-670X","PENN STATE UNIV PRESS","820 NORTH UNIV DRIVE, U S B 1, STE C, UNIVERSITY PK, USA, PA, 16802"
"KOREAN LINGUISTICS","0257-3784","2212-9731","JOHN BENJAMINS PUBLISHING CO","PO BOX 36224, AMSTERDAM, NETHERLANDS, 1020 ME"
"KOREAN STUDIES","0145-840X","1529-1529","UNIV HAWAII PRESS","2840 KOLOWALU ST, HONOLULU, USA, HI, 96822"
"KOSCIOL I PRAWO","0208-7928","2544-5804","TOWARZYSTWO NAUKOWE KUL","UL CHOPINA 29-11, LUBLIN, POLAND, 20-023"
"KOTUITUI-NEW ZEALAND JOURNAL OF SOCIAL SCIENCES ONLINE","1177-083X","1177-083X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"KRAGUJEVAC JOURNAL OF MATHEMATICS","1450-9628","1450-9628","UNIV KRAGUJEVAC, FAC SCIENCE","PO BOX 60, RADOJA DOMANOVICA 12, KRAGUJEVAC, SERBIA, 34000"
"KRATKIE SOOBSHCHENIYA INSTITUTA ARKHEOLOGII","0130-2620","0130-2620","IZDATELSTVO NAUKA","19 DMITRIYA ULYANOVA ST, MOSCOW, RUSSIA, 19117036"
"KRITIKE-AN ONLINE JOURNAL OF PHILOSOPHY","1908-7330","1908-7330","UNIV SANTO TOMAS, FAC ARTS & LETTERS","RM 109, MAIN BLDG, ESPANA, MANILA, PHILIPPINES, 1015"
"KRONOSCOPE-JOURNAL FOR THE STUDY OF TIME","1568-5241","1568-5241","BRILL ACADEMIC PUBLISHERS","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA"
"KSU TARIM VE DOGA DERGISI-KSU JOURNAL OF AGRICULTURE AND NATURE","","2619-9149","KAHRAMANMARAS SUTCU IMAM UNIV REKTORLUGU","AVSAR MAH BATI CEVREYOLU BLV NO 251-A, ONIKISUBAT, KAHRAMANMARAS, TURKEY, 46040"
"KULTURNO-ISTORICHESKAYA PSIKHOLOGIYA-CULTURAL-HISTORICAL PSYCHOLOGY","1816-5435","2224-8935","MOSCOW STATE UNIV PSYCHOLOGY & EDUCATION","UL SRETENKA, 29, MOSCOW, RUSSIA, 127051"
"KULTUR-REVISTA INTERDISCIPLINARIA SOBRE LA CULTURA DE LA CIUTAT","2386-5458","2386-5458","UNIV JAUME I","AVE DE VICENT SOS BAYNAT, S-N, CASTELLO DE LA PLANA, SPAIN, 12071"
"KUNSTLICHE INTELLIGENZ","0933-1875","1610-1987","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"KURDISH STUDIES","2051-4883","2051-4891","TRANSNATIONAL PRESS LONDON","12 RIDGEWAY GARDENS, LONDON, ENGLAND, N6 5XR"
"KVASNY PRUMYSL","","2570-8619","RESEARCH INST BREWING & MALTING","LIPOVA 15, 2 PRAGUE, CZECH REPUBLIC, 12044"
"KYIV-MOHYLA HUMANITIES JOURNAL","2313-4895","2313-4895","NATL UNIV KYIV-MOHYLA ACAD","VUL H SKOVORODY, 2, KYIV, UKRAINE, 04655"
"KYUNGPOOK MATHEMATICAL JOURNAL","1225-6951","0454-8124","KYUNGPOOK NATL UNIV, DEPT MATHEMATICS","80 DAEHAKRO, BUKGU, TAEGU, SOUTH KOREA, 41566"
"L1 EDUCATIONAL STUDIES IN LANGUAGE AND LITERATURE","1573-1731","1573-1731","UNIV VAN AMSTERDAM, INST LERARENOPLEIDING","GRADUATE SCH TEACHING & LEARNING, SPINOZASTRAAT 55, AMSTERDAM, NETHERLANDS, 1018 HJ"
"LABORATOIRE ITALIEN-POLITIQUE ET SOCIETE","1627-9204","2117-4970","ENS EDITIONS","15 PARVIS RENE DESCARTES, B P 7000, LYON CEDEX 07, FRANCE, 69342"
"LABORATORIO DE ARTE","1130-5762","2253-8305","UNIV SEVILLA, EDITORIAL","SECRETARIADO PUBLICACIONES, C/ PORVENIR, NO 27, SEVILLE, SPAIN, 41013"
"LABORATORIUM-RUSSIAN REVIEW OF SOCIAL RESEARCH","2076-8214","2078-1938","CENTRE INDEPENDENT SOCIAL RESEARCH","CENTRE INDEPENDENT SOCIAL RESEARCH, SANKT-PETERBURG, RUSSIA, 00000"
"LABORHISTORICO","2359-6910","2359-6910","UNIV FED RIO DE JANEIRO, FAC LETRAS","CIDADE UNIV, PROGRAM POS-GRAD LETRAS NEOLATINAS, AV HORACIO MACEDO, 2151, RIO DE JANEIRO RJ, BRAZIL, CEP 21941-90"
"LABOR-STUDIES IN WORKING-CLASS HISTORY OF THE AMERICAS","1547-6715","1558-1454","DUKE UNIV PRESS","905 W MAIN ST, STE 18-B, DURHAM, USA, NC, 27701"
"LABOUR-ENGLAND","1121-7081","1467-9914","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
