Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
111;19700174935;Alzheimer's Research and Therapy;journal;17589193;2,404;Q1;53;122;241;5667;1501;234;6,26;46,45;United Kingdom;BioMed Central;2010-ongoing;"Cognitive Neuroscience (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
112;4400151517;Cell Communication and Signaling;journal;1478811X;2,4;Q1;52;101;133;5280;642;127;5,02;52,28;United Kingdom;BioMed Central;2003-ongoing;"Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
113;21100199802;Frontiers in Synaptic Neuroscience;journal;16633563;2,398;Q1;31;16;65;1274;262;60;4,71;79,63;Switzerland;Frontiers Media S.A.;2009-ongoing;"Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1)"
114;21100255423;R Journal;journal;20734859;2,386;Q1;28;37;180;987;441;168;2,58;26,68;United States;R Foundation for Statistical Computing;2009-ongoing;"Numerical Analysis (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
115;21100853961;ImmunoTargets and Therapy;journal;22531556;2,355;Q1;6;0;9;0;72;9;10,5;0;New Zealand;Dove Medical Press Ltd.;2015-ongoing;"Immunology (Q1); Immunology and Allergy (Q1)"
116;21100256102;Translational Neurodegeneration;journal;20479158;2,346;Q1;28;35;82;2477;526;82;5,95;70,77;United Kingdom;BioMed Central;2012-ongoing;"Cellular and Molecular Neuroscience (Q1); Cognitive Neuroscience (Q1); Neurology (clinical) (Q1)"
117;21100854140;npj Schizophrenia;journal;2334265X;2,341;Q1;13;23;90;1453;377;76;4,71;63,17;United Kingdom;Nature Publishing Group;2015;Psychiatry and Mental Health (Q1)
118;29945;Journal of Carcinogenesis;journal;14773163;2,324;Q1;34;6;11;223;78;10;11;37,17;India;Medknow Publications;2002-ongoing;"Cancer Research (Q1); Health, Toxicology and Mutagenesis (Q1); Oncology (Q1)"
119;21100779230;RMD Open;journal;20565933;2,314;Q1;21;116;269;4155;1033;259;3,44;35,82;United Kingdom;BMJ Publishing Group;2016-ongoing;"Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)"
120;19700201211;Cell Death and Disease;journal;20414889;2,31;Q1;85;1197;1539;57805;8803;1418;5,91;48,29;United Kingdom;Nature Publishing Group;2010-ongoing;"Cancer Research (Q1); Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1); Immunology (Q1); Medicine (miscellaneous) (Q1)"
121;50032;Journal of Neuroinflammation;journal;17422094;2,299;Q1;92;349;815;19031;4682;793;5,7;54,53;United Kingdom;BioMed Central;2004-ongoing;"Cellular and Molecular Neuroscience (Q1); Immunology (Q1); Neurology (Q1); Neuroscience (miscellaneous) (Q1)"
122;19600166320;Protein & Cell;journal;16748018, 1674800X;2,28;Q1;48;138;307;6747;1208;220;5,52;48,89;Germany;Springer Verlag;2010-ongoing;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Drug Discovery (Q1); Medicine (miscellaneous) (Q1)"
123;14551;Diversity and Distributions;journal;13669516, 14724642;2,278;Q1;104;150;369;10834;1812;355;4,37;72,23;United Kingdom;Blackwell Publishing Inc.;1998-ongoing;Ecology, Evolution, Behavior and Systematics (Q1)
124;21100265617;Weather and Climate Extremes;journal;22120947;2,276;Q1;21;36;93;1578;524;86;4,42;43,83;Netherlands;Elsevier BV;2013-ongoing;"Atmospheric Science (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)"
125;21100873116;Journal of Clinical Medicine;journal;20770383;2,274;Q1;16;0;50;0;319;50;6,78;0;Switzerland;MDPI AG;2014-ongoing;Medicine (miscellaneous) (Q1)
126;19700182013;Genome Biology and Evolution;journal;17596653;2,267;Q1;60;270;821;17765;3070;808;3,56;65,8;United Kingdom;Oxford University Press;2010-ongoing;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
127;21100204914;Journal of Cachexia, Sarcopenia and Muscle;journal;21905991, 21906009;2,243;Q1;48;105;210;5603;1595;166;9,55;53,36;United States;Wiley-Blackwell;2010-ongoing;"Orthopedics and Sports Medicine (Q1); Physiology (medical) (Q1)"
128;21100364911;Creativity Studies;journal;23450487, 23450479;2,227;Q1;8;18;45;638;44;39;1,3;35,44;United Kingdom;Taylor & Francis;2014-ongoing;"Cultural Studies (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
129;5800173370;Cell Division;journal;17471028;2,219;Q1;40;10;27;832;120;23;4;83,2;United Kingdom;BioMed Central;2006-ongoing;"Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
130;21100782808;eNeuro;journal;23732822;2,218;Q1;19;329;582;12478;1936;550;3,46;37,93;United States;Society for Neuroscience;2015-ongoing;"Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
131;23648;Health Technology Assessment;journal;13665278;2,218;Q1;110;76;293;10008;1355;293;3,9;131,68;United Kingdom;National Coordinating Centre for Health Technology Assessment;1994-ongoing;"Health Policy (Q1); Medicine (miscellaneous) (Q1)"
132;7000153204;Social Cognitive and Affective Neuroscience;journal;17495024, 17495016;2,21;Q1;87;117;471;7222;1961;466;3,97;61,73;United Kingdom;Oxford University Press;2006-ongoing;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1)"
133;19900192023;Earth System Dynamics;journal;21904979, 21904987;2,203;Q1;29;77;178;4487;792;178;4,37;58,27;Germany;Copernicus Gesellschaft mbH;2010-ongoing;Earth and Planetary Sciences (miscellaneous) (Q1)
134;19700175160;Therapeutic Advances in Medical Oncology;journal;17588340, 17588359;2,2;Q1;34;77;131;4912;714;120;5,7;63,79;United Kingdom;SAGE Publications;2009-ongoing;Oncology (Q1)
135;21100203714;Skeletal Muscle;journal;20445040;2,185;Q1;32;39;118;2235;494;114;4,15;57,31;United Kingdom;BioMed Central;2008, 2011-ongoing;"Cell Biology (Q1); Molecular Biology (Q1); Orthopedics and Sports Medicine (Q1)"
136;21100850718;mSphere;journal;23795042;2,178;Q1;19;291;371;9867;1452;339;4,28;33,91;United States;American Society for Microbiology;2016-ongoing;"Microbiology (Q1); Molecular Biology (Q1)"
137;21100207003;Theranostics;journal;18387640;2,176;Q1;69;452;668;25482;5405;649;8,02;56,38;Canada;Ivyspring International Publisher;2012-ongoing;"Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)"
138;19400157205;Evolutionary Applications;journal;17524563, 17524571;2,174;Q1;57;156;266;12788;1293;257;4,91;81,97;United Kingdom;Blackwell Publishing Inc.;2008-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
139;21100812867;Geoscience Data Journal;journal;20496060;2,168;Q1;6;10;22;245;70;21;2,75;24,5;United States;John Wiley and Sons Inc.;2015-ongoing;Earth and Planetary Sciences (miscellaneous) (Q1)
140;21100242403;Redox Biology;journal;22132317;2,166;Q1;57;281;538;17565;4477;523;7,77;62,51;Netherlands;Elsevier BV;2013-ongoing;"Biochemistry (Q1); Clinical Biochemistry (Q1); Organic Chemistry (Q1)"
141;21100369848;Biomolecular Detection and Quantification;journal;22147535;2,15;Q1;14;8;56;256;248;49;3,73;32;Germany;Elsevier GmbH;2014-ongoing;"Biochemistry (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Structural Biology (Q1)"
142;21100225608;Stem cells translational medicine;journal;21576564, 21576580;2,145;Q1;53;104;540;4647;3119;517;5,98;44,68;United States;John Wiley and Sons Inc.;2012-ongoing;"Cell Biology (Q1); Developmental Biology (Q1); Medicine (miscellaneous) (Q1)"
143;19700188419;Cancers;journal;20726694;2,142;Q1;53;510;418;44473;2448;407;6,37;87,2;Switzerland;Multidisciplinary Digital Publishing Institute (MDPI);2010-ongoing;"Cancer Research (Q1); Oncology (Q1)"
144;21100335701;Vaccines;journal;2076393X;2,136;Q1;24;83;150;6256;815;145;4,93;75,37;Switzerland;Multidisciplinary Digital Publishing Institute (MDPI);2014-ongoing;"Drug Discovery (Q1); Immunology (Q1); Infectious Diseases (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)"
145;21100857408;Algebraic Geometry;journal;23131691, 22142584;2,135;Q1;9;21;85;799;92;83;0,91;38,05;Switzerland;European Mathematical Society Publishing House;2014-ongoing;"Algebra and Number Theory (Q1); Geometry and Topology (Q1)"
146;25441;Cardiovascular Diabetology;journal;14752840;2,134;Q1;64;161;478;8485;2474;459;5,91;52,7;United Kingdom;BioMed Central;2002-ongoing;"Cardiology and Cardiovascular Medicine (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
147;29472;Hydrology and Earth System Sciences;journal;10275606;2,134;Q1;107;367;952;24260;4669;948;4,54;66,1;Germany;Copernicus GmbH;1997-ongoing;"Earth and Planetary Sciences (miscellaneous) (Q1); Water Science and Technology (Q1)"
148;15440;Dialogues in Clinical Neuroscience;journal;12948322;2,131;Q1;69;28;128;1492;652;115;5,08;53,29;France;Les Laboratoires Servier;2002-ongoing;"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)"
149;130037;Biogeosciences;journal;17264189, 17264170;2,118;Q1;106;426;1237;32201;5356;1230;3,92;75,59;Germany;Copernicus GmbH;2004-ongoing;"Earth-Surface Processes (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
150;21100232818;Emerging Microbes and Infections;journal;22221751;2,117;Q1;31;214;251;8922;1095;191;5,84;41,69;United Kingdom;Nature Publishing Group;2012-ongoing;"Drug Discovery (Q1); Epidemiology (Q1); Immunology (Q1); Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (Q1); Parasitology (Q1); Virology (Q1)"
151;19400157151;DMM Disease Models and Mechanisms;journal;17548403, 17548411;2,114;Q1;67;178;423;10919;1729;398;3,87;61,34;United Kingdom;The Company of Biologists Ltd.;2008-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
152;27479;Annals of Family Medicine;journal;15441717, 15441709;2,11;Q1;98;154;412;2557;999;254;3,5;16,6;United States;Annals of Family Medicine, Inc.;2003-ongoing;Family Practice (Q1)
153;17300154987;Molecular Brain;journal;17566606;2,109;Q1;50;77;251;3761;1054;247;4,19;48,84;United Kingdom;BioMed Central;2008-ongoing;"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1)"
154;21100820001;Neurology: Neuroimmunology and NeuroInflammation;journal;23327812;2,102;Q1;28;86;279;1604;1291;219;4,96;18,65;United States;Lippincott Williams and Wilkins;2014-ongoing;"Neurology (Q1); Neurology (clinical) (Q1)"
155;21100469613;Movement Ecology;journal;20513933;2,095;Q1;21;25;91;1542;394;88;3,48;61,68;United Kingdom;BioMed Central;2016-ongoing;Ecology, Evolution, Behavior and Systematics (Q1)
156;27592;Arthritis Research and Therapy;journal;14786354;2,094;Q1;132;284;980;10023;4185;920;4,24;35,29;United Kingdom;BioMed Central;2003-ongoing;"Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)"
157;21100837352;Social Media and Society;journal;20563051;2,083;Q1;16;98;245;5542;855;240;3,14;56,55;United Kingdom;SAGE Publications Ltd;2015-ongoing;"Communication (Q1); Computer Science Applications (Q1); Cultural Studies (Q1)"
158;24674;Oikos;journal;16000706, 00301299;2,078;Q1;164;178;544;11925;1997;529;3,54;66,99;United Kingdom;Blackwell Publishing Inc.;1973-ongoing;Ecology, Evolution, Behavior and Systematics (Q1)
159;17300154924;Epidemics;journal;17554365;2,075;Q1;31;48;108;1944;390;106;3,28;40,5;Netherlands;Elsevier BV;2009-ongoing;"Epidemiology (Q1); Infectious Diseases (Q1); Microbiology (Q1); Parasitology (Q1); Public Health, Environmental and Occupational Health (Q1); Virology (Q1)"
160;19700175115;Frontiers in Systems Neuroscience;journal;16625137;2,067;Q1;57;61;401;5275;1507;376;4;86,48;Switzerland;Frontiers Media S.A.;2007-ongoing;"Cellular and Molecular Neuroscience (Q1); Cognitive Neuroscience (Q1); Developmental Neuroscience (Q1); Neuroscience (miscellaneous) (Q1)"
161;21100463549;Reviews in Physics;journal;24054283;2,067;Q1;9;5;17;358;114;16;7,13;71,6;Netherlands;Elsevier BV;2016-ongoing;Physics and Astronomy (miscellaneous) (Q1)
162;17426;DNA Research;journal;13402838;2,066;Q1;89;56;146;3315;651;143;3,8;59,2;United Kingdom;Oxford University Press;1994-ongoing;"Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
163;21100203115;Nano-Micro Letters;journal;21505551;2,064;Q1;34;61;121;4907;1090;119;8,22;80,44;United States;Open Access Science Online;2009-ongoing;"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Nanoscience and Nanotechnology (Q1); Surfaces, Coatings and Films (Q1)"
164;19700175163;Frontiers in Cellular Neuroscience;journal;16625102;2,036;Q1;64;523;1270;41168;5349;1199;3,91;78,72;Switzerland;Frontiers Media S.A.;2007-ongoing;Cellular and Molecular Neuroscience (Q1)
165;144804;Acta Orthopaedica;journal;17453682, 17453674;2,031;Q1;100;130;396;3377;1242;348;3,13;25,98;United Kingdom;Taylor & Francis;1930, 1932-1945, 1948-1959, 1961-ongoing;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Surgery (Q1)"
166;21100870831;npj Aging and Mechanisms of Disease;journal;20563973;2,031;Q1;11;11;48;487;228;42;5,82;44,27;United Kingdom;Nature Publishing Group;2017-ongoing;"Aging (Q1); Geriatrics and Gerontology (Q1)"
167;21100229161;Frontiers in Immunology;journal;16643224;2,021;Q1;84;3202;3244;211696;15187;3020;4,53;66,11;Switzerland;Frontiers Media S.A.;2010-ongoing;"Immunology (Q1); Immunology and Allergy (Q1)"
168;17476;Experimental and Molecular Medicine;journal;12263613, 20926413;2,019;Q1;68;219;285;2738;1460;278;4,72;12,5;United States;Nature Publishing Group;1996-ongoing;"Biochemistry (Q1); Clinical Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)"
169;19700188321;Database : the journal of biological databases and curation;journal;17580463;2,016;Q1;46;141;402;4441;1413;397;3,42;31,5;United Kingdom;Oxford University Press;2009-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Information Systems (Q1)"
170;21100218543;Molecular Therapy - Nucleic Acids;journal;21622531;2,011;Q1;43;220;338;11814;1939;324;5,67;53,7;United States;Cell Press;2012-ongoing;"Drug Discovery (Q1); Molecular Medicine (Q1)"
171;21100218533;Oncogenesis;journal;21579024;1,995;Q1;31;92;157;4519;827;153;5,75;49,12;United States;Nature Publishing Group;2012-ongoing;"Cancer Research (Q1); Molecular Biology (Q1)"
172;16816;Journal of Psychiatry and Neuroscience;journal;14882434, 11804882;1,994;Q1;89;48;182;2651;704;142;4,23;55,23;Canada;Canadian Medical Association/Association Medical Canadienne;1991-ongoing;"Medicine (miscellaneous) (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1); Biological Psychiatry (Q2)"
173;12495;Neoplasia;journal;14765586, 15228002;1,987;Q1;117;112;172;5942;756;161;4,14;53,05;Netherlands;Elsevier BV;1999-ongoing;Cancer Research (Q1)
174;27545;European Physical Journal C;journal;14346052, 14346044;1,972;Q1;156;1016;2239;59111;9866;2141;4,77;58,18;Germany;Springer Verlag;1998-ongoing;"Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
175;21100203121;Clinical and Translational Gastroenterology;journal;2155384X;1,965;Q1;26;80;125;2195;617;121;5,52;27,44;United Kingdom;Nature Publishing Group;2010-ongoing;Gastroenterology (Q1)
176;17797;Materials and Design;journal;2641275;1,951;Q1;125;877;3954;42337;24571;3907;6,21;48,27;Netherlands;Elsevier BV;1980-ongoing;"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
177;21100853560;African Journal of Disability;journal;22267220, 22239170;1,944;Q1;5;28;7;1196;32;6;0;42,71;South Africa;OpenJournals Publishing AOSIS (Pty) Ltd;2015;"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1)"
178;21100820782;Remote Sensing in Ecology and Conservation;journal;20563485;1,943;Q1;11;34;47;1947;244;43;5,32;57,26;United Kingdom;Wiley-Blackwell;2015-ongoing;"Computers in Earth Sciences (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)"
179;21100843337;SOIL;journal;21993971, 2199398X;1,943;Q1;21;20;118;1130;680;118;4,9;56,5;Germany;Copernicus GmbH;2015-ongoing;Soil Science (Q1)
180;19700175165;Frontiers in Neural Circuits;journal;16625110;1,934;Q1;47;116;319;8921;993;308;3;76,91;Switzerland;Frontiers Media S.A.;2007-ongoing;"Cellular and Molecular Neuroscience (Q1); Cognitive Neuroscience (Q1); Neuroscience (miscellaneous) (Q1); Sensory Systems (Q1)"
181;4400151418;Climate of the Past;journal;18149332, 18149324;1,929;Q1;64;116;347;10406;1197;346;3,55;89,71;Germany;Copernicus GmbH;2005-ongoing;"Global and Planetary Change (Q1); Paleontology (Q1); Stratigraphy (Q1)"
182;26398;Electronic Journal of Probability;journal;10836489;1,923;Q1;36;112;308;3657;374;306;1,05;32,65;United States;Institute of Mathematical Statistics;1996-ongoing;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
183;19790;Molecular Plant Pathology;journal;13643703, 14646722;1,923;Q1;90;199;320;13670;1387;313;4,19;68,69;United Kingdom;Blackwell Publishing Inc.;2000-ongoing;"Agronomy and Crop Science (Q1); Molecular Biology (Q1); Plant Science (Q1); Soil Science (Q1)"
184;21100275443;Frontiers in Oncology;journal;2234943X;1,918;Q1;60;605;880;42338;3762;802;4,25;69,98;Switzerland;Frontiers Media S.A.;2011-ongoing;"Cancer Research (Q1); Oncology (Q1)"
185;21100406884;IMA Fungus;journal;22106359, 22106340;1,912;Q1;26;29;98;978;294;82;3,24;33,72;United States;International Mycological Association;2015-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
186;21100787508;Journal of Global Health;journal;20472986, 20472978;1,905;Q1;20;111;190;3900;581;181;2,3;35,14;United Kingdom;Edinburgh University Global Health Society;2016-ongoing;"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)"
187;21100237607;Cancer Biology and Medicine;journal;20953941;1,904;Q1;29;46;135;2514;677;134;4,64;54,65;China;Chinese Anticancer Association;2012-ongoing;"Cancer Research (Q1); Oncology (Q1)"
